lower_bound,upper_bound
367983.72999999847,14193120.24381631
372299.4899999985,11312075.971700177
372702.8599999984,11312075.971700177
374889.9199999984,10008138.33089648
375221.35999999836,9184746.661238454
377890.28999999847,7734216.122743861
378634.76999999845,7734216.122743861
379079.18999999843,7734216.122743861
379452.59999999835,6985724.086834999
379950.46999999846,6985724.086834999
380108.26999999845,6985724.086834999
380262.3399999985,6985724.086834999
380819.10999999853,6985724.086834999
381202.5799999985,6474058.882031628
381498.2799999984,6330991.683600846
381689.44999999844,6330681.880445872
381813.66999999847,6330681.880445872
382462.6699999984,6330681.880445872
382637.1499999985,5513994.059706681
382716.7499999985,5513994.059706681
382851.9199999985,5513994.059706681
383276.75999999844,5125567.546354061
383312.33999999845,5125567.546354061
383495.10999999905,5125567.546354061
383498.7299999986,5125567.546354061
383589.16999999847,5125567.546354061
383761.13999999844,5125567.546354061
383903.19999999844,5125567.546354061
383929.1199999985,5125567.546354061
384030.4199999984,4723834.737726627
384065.48999999836,4723834.737726627
384150.06999999844,4723834.737726627
384174.87999999884,4723834.737726627
384368.74999999837,4723834.737726627
384394.0399999984,4723834.737726627
384575.4699999985,4723834.737726627
384663.12999999843,4723834.737726627
384740.099999999,4723834.737726627
384855.06999999855,4723834.737726627
384858.0999999984,4723834.737726627
384924.6599999985,4723834.737726627
385131.63999999844,4723834.737726627
385147.26999999845,4723834.737726627
385526.2999999985,4723834.737726627
385593.27999999846,4723834.737726627
385598.60999999853,4723834.737726627
385826.9799999984,4723834.737726627
385868.0499999986,4723834.737726627
385904.50999999844,4340971.956312703
385912.23999999836,4340971.956312703
385948.5799999985,4340971.956312703
386104.3299999985,4340971.956312703
386160.9899999985,4340971.956312703
386305.50999999855,4340971.956312703
386417.5499999984,4340971.956312703
386452.62999999855,4340971.956312703
386513.45999999845,4340971.956312703
386553.36999999854,4340971.956312703
386728.50999999896,4340971.956312703
386740.8299999985,4340971.956312703
386856.9299999985,4340971.956312703
386861.25999999844,3803013.374588037
386934.81999999855,3803013.374588037
386955.66999999847,3803013.374588037
386976.0699999985,3803013.374588037
387076.1299999986,3803013.374588037
387078.6699999984,3803013.374588037
387120.95999999857,3803013.374588037
387153.34999999846,3803013.374588037
387325.93999999855,3803013.374588037
387330.6499999988,3803013.374588037
387372.97999999847,3803013.374588037
387385.98999999877,3803013.374588037
387403.4799999986,3803013.374588037
387412.1299999985,3803013.374588037
387522.5599999989,3803013.374588037
387568.43999999843,3803013.374588037
387755.8999999984,3803013.374588037
387781.52999999846,3803013.374588037
387817.8999999985,3803013.374588037
387961.3499999984,3803013.374588037
387970.9599999985,3803013.374588037
387979.61999999854,3803013.374588037
387983.8099999985,3803013.374588037
388031.6999999985,3803013.374588037
388056.6799999985,3803013.374588037
388099.0599999985,3803013.374588037
388162.6499999988,3803013.374588037
388170.1099999989,3803013.374588037
388242.4799999984,3803013.374588037
388288.7499999985,3803013.374588037
388420.0599999989,3803013.374588037
388428.1399999985,3803013.374588037
388531.4999999984,3803013.374588037
388551.97999999847,3803013.374588037
388567.32999999844,3803013.374588037
388585.7999999985,3803013.374588037
388606.7499999989,3803013.374588037
388610.2799999985,3803013.374588037
388624.76999999845,3803013.374588037
388687.3299999985,3803013.374588037
388714.6599999991,3803013.374588037
388815.50999999844,3803013.374588037
388857.1999999986,3748719.990806743
388910.2999999984,3748719.990806743
388912.1399999983,3748719.990806743
389027.7399999986,3748719.990806743
389052.1399999984,3748719.990806743
389062.1699999985,3748719.990806743
389078.08999999845,3748719.990806743
389113.21999999846,3748719.990806743
389213.21999999846,3748719.990806743
389322.82999999844,3748719.990806743
389359.85999999836,3748719.990806743
389366.46999999846,3748719.990806743
390111.8399999985,3748719.990806743
390168.8599999985,3748719.990806743
390283.33999999845,3748719.990806743
390322.16999999864,3603571.632999881
390327.58999999845,3603571.632999881
390372.2899999985,3603571.632999881
390395.33999999845,3603571.632999881
390414.38999999856,3603571.632999881
390460.2699999985,3603571.632999881
390468.9099999986,3603571.632999881
390480.5399999986,3603571.632999881
390504.93999999866,3603571.632999881
390543.6699999986,3204975.5357206133
390553.9699999986,3204975.5357206133
390588.4699999984,3204975.5357206133
390633.06999999855,3204975.5357206133
390635.1199999985,3204975.5357206133
390668.56999999884,3204975.5357206133
390727.98999999854,3204975.5357206133
390753.0799999985,3204975.5357206133
390771.86999999854,3204975.5357206133
390795.74999999854,3204975.5357206133
390798.8899999985,3204975.5357206133
390801.9299999989,3204975.5357206133
390925.9999999984,3204975.5357206133
390931.68999999855,2890161.1744416747
390938.7899999986,2705061.7399768396
390943.0899999985,2705061.7399768396
390953.4799999985,2705061.7399768396
390961.3499999985,2705061.7399768396
390997.4799999985,2705061.7399768396
391012.16999999864,2705061.7399768396
391047.93999999855,2705061.7399768396
391057.4099999989,2705061.7399768396
391058.2199999987,2705061.7399768396
391072.4899999986,2394562.9900403894
