lower_bound,upper_bound
368483.72999999847,550613.4598162314
377876.7699999997,535454.4418042476
381233.93999999884,513333.9420818929
388781.5499999996,513333.9420818929
391351.789999999,513333.9420818929
396169.2099999988,513333.9420818929
396354.98443110654,513333.9420818929
397410.229999999,513333.9420818929
397474.71999999846,513333.9420818929
398197.9099999993,513333.9420818929
398235.5852952054,513333.9420818929
398465.7499999986,513333.9420818929
398682.7699999996,513333.9420818929
399001.34999999934,513333.9420818929
399122.8399999991,513333.9420818929
399675.1011487322,513333.9420818929
399948.9799999995,513333.9420818929
400444.6499999995,513333.9420818929
400548.7899999991,513333.9420818929
400629.2738495223,513333.9420818929
401349.9793707372,513333.9420818929
401368.2414666797,513333.9420818929
401436.0699999991,513333.9420818929
401699.756551737,513333.9420818929
401709.2499999987,513333.9420818929
401952.23964397016,513333.9420818929
402003.23999999923,513333.9420818929
402576.4048916701,513333.9420818929
402745.69999999885,513333.9420818929
402795.6899999998,513333.9420818929
402811.8099999995,513333.9420818929
403349.8799999995,513333.9420818929
403772.37369333126,513333.9420818929
404514.2199999986,513333.9420818929
404635.52999999915,513333.9420818929
404703.8129168413,513333.9420818929
404901.1595678667,513333.9420818929
405240.70511120564,513333.9420818929
405514.02,513333.9420818929
405995.1948873493,513333.9420818929
406087.689999999,513333.9420818929
406089.5329705546,513333.9420818929
406200.44568156113,513333.9420818929
406334.6016666171,513333.9420818929
406904.2468755198,513333.9420818929
406986.6520307367,513333.9420818929
407022.52238496626,513333.9420818929
407031.0399999995,513333.9420818929
407512.8306313017,513333.9420818929
407702.17364636547,513333.9420818929
407793.87999999983,513333.9420818929
408099.07999999943,513333.9420818929
408272.1299999999,513333.9420818929
408716.19999999896,513333.9420818929
408929.35492751846,513333.9420818929
408952.64999999915,513333.9420818929
409115.9992769411,513333.9420818929
409403.91499919136,513333.9420818929
409519.1195614978,513333.9420818929
409654.0355937618,513333.9420818929
409701.9899999991,513333.9420818929
410160.5528215415,510413.1808653063
411114.14812950563,510413.1808653063
411305.8886004202,510413.1808653063
411649.3199999998,510413.1808653063
412113.84999999934,510413.1808653063
412352.13551487034,510413.1808653063
412540.09405798547,510413.1808653063
412548.7934299265,510413.1808653063
412935.3971408092,510413.1808653063
412947.43999999965,510413.1808653063
413058.4899999996,510413.1808653063
413185.8399999992,510413.1808653063
413353.92999999895,510413.1808653063
413760.8099999998,510413.1808653063
414052.20999999985,510413.1808653063
414055.03999999916,510413.1808653063
414337.4599999993,510413.1808653063
414710.2799999993,510413.1808653063
414799.3099999999,510413.1808653063
415285.0400000005,510413.1808653063
415324.435890409,510413.1808653063
415364.52951287595,510413.1808653063
415591.8747502933,510413.1808653063
415930.9773297374,510413.1808653063
416034.5025646358,510413.1808653063
416266.64439800865,510413.1808653063
416945.93287249684,510413.1808653063
417132.27452144574,510413.1808653063
417285.398379781,510413.1808653063
417397.3842844686,510413.1808653063
417400.16124659736,510413.1808653063
417581.11788330413,510413.1808653063
417671.6505070923,510413.1808653063
417697.55134745064,510413.1808653063
417853.33446442464,510413.1808653063
417947.12461015576,510413.1808653063
418084.71364843706,510413.1808653063
418505.26384860603,510413.1808653063
419062.46999999904,510413.1808653063
419136.9449819649,510413.1808653063
419342.9612156255,510413.1808653063
419571.9995528326,510413.1808653063
419671.98999999836,510413.1808653063
419778.03999999893,510413.1808653063
419800.17912001244,510413.1808653063
419976.7799999996,510413.1808653063
420021.6399999992,510413.1808653063
420050.3986118688,510413.1808653063
420215.37999999995,510413.1808653063
420351.6829918948,510413.1808653063
420402.78510788927,510413.1808653063
420412.90306785883,510413.1808653063
420563.2621746807,510413.1808653063
420624.5700000002,510413.1808653063
420644.0923068994,510413.1808653063
420855.1548338584,510413.1808653063
421003.6470369736,510413.1808653063
421027.0300000002,510413.1808653063
421326.8329756268,510413.1808653063
421401.8723151436,510413.1808653063
421453.6556540122,510413.1808653063
421743.35393446934,510413.1808653063
421934.27999999933,510413.1808653063
422006.1427614482,510413.1808653063
422097.41947230586,510413.1808653063
422198.59374000755,510413.1808653063
422246.3900000001,510413.1808653063
422687.39081384457,510413.1808653063
422799.71236753743,510413.1808653063
422895.9865115454,510413.1808653063
423241.2476769023,510413.1808653063
423279.76347650285,510413.1808653063
423550.2260554503,510413.1808653063
423626.5699999988,510413.1808653063
423635.38999999966,510413.1808653063
423641.9756229549,510413.1808653063
423737.4019055203,510413.1808653063
423768.85850339883,510413.1808653063
424118.8099999991,510413.1808653063
424151.01403523295,510413.1808653063
424344.80350786494,510413.1808653063
424509.26597073505,510413.1808653063
424526.5240075251,510413.1808653063
424664.02999999915,510413.1808653063
424793.4099999996,510413.1808653063
424908.44572540076,510413.1808653063
424932.5899999985,510413.1808653063
424978.0399999989,510413.1808653063
425058.3295839669,510413.1808653063
425193.3895776391,510413.1808653063
425193.8062785569,510413.1808653063
425223.8044814087,510413.1808653063
425333.17575960146,510413.1808653063
425576.3900000001,510413.1808653063
425678.5280069035,510413.1808653063
425687.44999999943,510413.1808653063
425709.4150632486,510413.1808653063
425868.40840754466,510413.1808653063
425879.7299999992,510413.1808653063
426021.07767074474,510413.1808653063
426144.09780681256,510413.1808653063
426163.15600618767,510413.1808653063
426206.41310691513,510413.1808653063
426344.97999999934,510413.1808653063
426445.6247559749,510413.1808653063
426455.5721021897,510413.1808653063
426493.3260434832,510413.1808653063
426626.3974523794,510413.1808653063
426751.6242274011,510413.1808653063
426801.15271450067,510413.1808653063
426997.36228860245,510413.1808653063
427076.8460979905,510413.1808653063
427109.0199999987,510413.1808653063
427399.04951492953,510413.1808653063
427449.45748523856,510413.1808653063
427474.89417719137,510413.1808653063
427597.4902737307,510413.1808653063
427598.0521232357,510413.1808653063
427623.53999999975,510413.1808653063
427804.528015496,510413.1808653063
427869.2499999991,509581.54158965114
427898.34343163174,509581.54158965114
428187.2599999999,509581.54158965114
428207.33934766013,509581.54158965114
428504.5133381426,509581.54158965114
428571.26999999926,509581.54158965114
428660.75999999896,509581.54158965114
428764.2971689038,509581.54158965114
428814.22999999975,509581.54158965114
428857.91459462803,509581.54158965114
428897.20763376117,509581.54158965114
428972.04703562555,509581.54158965114
429097.2318223468,509581.54158965114
429131.0142920327,509581.54158965114
429131.3399999986,509581.54158965114
429165.15433991794,509581.54158965114
429477.0855327491,509581.54158965114
