lower_bound,upper_bound
-631016.2700000015,14193120.24381631
-625765.9600000016,10553964.269819994
-625395.3700000016,10553964.269819994
-624072.8000000016,10008237.01089648
-622717.7201768395,9184199.59317704
-620105.5100000016,8717198.532612434
-620028.5100000015,7004119.139110707
-619034.0200000014,7004119.139110707
-617957.4700000016,6291886.7201059945
-617551.8300000015,6231949.884110726
-617188.3900000015,6152035.066397378
-617032.3200000015,6022930.179201948
-616865.7700000014,6022930.179201948
-616464.3200000015,6022930.179201948
-615618.4407192345,6022930.179201948
-615169.6900000016,5787908.055255695
-615006.7500000016,5787908.055255695
-614711.2100000012,5787908.055255695
-614280.9100000015,5181046.333660882
-614023.9200000016,5118055.809762639
-613877.7100000014,5118055.809762639
-613669.1700000014,4159781.2544769184
-613551.3800000015,4159781.2544769184
-613467.4300000014,4159781.2544769184
-612922.2100000015,4100409.8661087337
-612771.8400000015,4100409.8661087337
-612581.4600000014,4100409.8661087337
-612491.6300000015,4100409.8661087337
-611891.4700000016,4100409.8661087337
-611860.0100000014,4100409.8661087337
-611803.9200000016,4100409.8661087337
-611736.8700000015,3045858.4227718003
-611662.270000001,3045858.4227718003
-611582.7700000015,3045858.4227718003
-611559.1000000011,3045858.4227718003
-611524.8200000015,3045858.4227718003
-611347.1300000015,3045858.4227718003
-611125.0600000015,3045858.4227718003
-611117.4100000008,3045858.4227718003
-610978.1700000016,3045858.4227718003
-610936.5400000014,3045858.4227718003
-610918.1900000015,3045858.4227718003
-610905.5000000015,3045858.4227718003
-610682.4300000013,3045858.4227718003
-610610.1700000016,3045858.4227718003
-610549.4000000008,3045858.4227718003
-610474.8200000011,3045858.4227718003
-610404.830000001,3045858.4227718003
-610316.8900000015,3045858.4227718003
-610227.7600000015,3045858.4227718003
-610214.3500000016,3045858.4227718003
-610079.5400000014,3045858.4227718003
-610063.8800000015,3045858.4227718003
-610031.0700000015,3045858.4227718003
-609989.8900000015,3045858.4227718003
-609984.4800000015,3045858.4227718003
-609918.7300000016,3045858.4227718003
-609876.8100000011,3045858.4227718003
-609718.5600000015,3045858.4227718003
-609640.8700000016,3045858.4227718003
-609514.0900000015,3045858.4227718003
-609448.8700000015,3045858.4227718003
-609282.7100000014,2969727.692315457
-608679.3100000016,2909229.545164054
-608624.2300000014,2909229.545164054
-608280.6600000015,2909229.545164054
-608176.2600000014,2909229.545164054
-607995.1200000015,2909229.545164054
-607694.6600000018,2909229.545164054
-607577.500000001,2909229.545164054
-607384.680000001,2909229.545164054
-607332.9100000013,2909229.545164054
-607212.9900000014,2909229.545164054
-607201.8600000015,2909229.545164054
-607130.6800000016,2909229.545164054
-607078.660000001,2909229.545164054
-606788.0400000016,2909229.545164054
-606785.1700000014,2909229.545164054
-606750.9700000011,2909229.545164054
-606726.2000000014,2909229.545164054
-606651.830000001,2909229.545164054
-606614.5300000014,2909229.545164054
-606589.0300000015,2909229.545164054
-606543.4000000014,2909229.545164054
-606358.1200000015,2909229.545164054
-606247.8800000014,2909229.545164054
-606091.0700000015,2909229.545164054
-606071.1800000014,2909229.545164054
-606052.3300000015,2516610.9706262136
-606038.9000000014,2516610.9706262136
-605969.630000001,2516610.9706262136
-605960.1500000014,2516610.9706262136
-605456.4000000015,2516610.9706262136
-605451.6500000015,2516610.9706262136
-605408.0200000014,2516610.9706262136
-605389.8600000015,2516610.9706262136
-605375.1100000015,2516610.9706262136
-605372.6900000011,2516610.9706262136
-605336.2200000015,2516610.9706262136
-605239.5500000014,2516610.9706262136
-605234.3500000015,2099273.062982064
-605223.9000000013,2099273.062982064
-605209.500000001,2099273.062982064
-605150.8200000015,2099273.062982064
-604745.1200000014,2099273.062982064
-604600.5200000014,2099273.062982064
-604594.8600000015,2099273.062982064
-602927.1400000015,2099273.062982064
-602730.0800000014,2099273.062982064
-602656.7600000014,2099273.062982064
-602640.0300000015,2099273.062982064
-602585.5500000014,2099273.062982064
-602389.3000000014,2099273.062982064
-602292.7200000007,2099273.062982064
-602291.3200000012,2099273.062982064
-602251.2200000014,2099273.062982064
-602209.2000000014,2000961.375263335
-602197.5400000014,2000961.375263335
-602188.4000000015,2000961.375263335
-602157.0800000015,2000961.375263335
-602102.7400000014,2000961.375263335
-602031.8200000015,2000961.375263335
-602017.4400000015,2000961.375263335
-601982.1600000015,2000961.375263335
-601976.4800000014,2000961.375263335
-601974.2400000015,2000961.375263335
-601905.0800000014,2000961.375263335
-601899.8600000014,2000961.375263335
-601890.3800000013,2000961.375263335
-601876.6000000015,2000961.375263335
-601866.0800000015,2000961.375263335
-601812.7500000001,2000961.375263335
-601811.4300000014,2000961.375263335
