lower_bound,upper_bound
-631016.2700000015,1375693293.243824
-626700.5100000015,1086702248.971708
-626297.1400000015,1086702248.971708
-624110.0800000016,955708311.3309044
-623776.1700000017,873681528.0462265
-621221.4500000016,759803299.3668845
-620628.7200000016,759803299.3668845
-620290.6300000016,759803299.3668845
-620062.2100000016,698670704.2348678
-619181.7700000015,676809556.9613292
-618856.4510197276,670720586.898782
-618139.4300000016,670720586.898782
-618102.8700000016,599692349.1542082
-617701.0300000017,582722013.4174463
-617637.9400000016,582722013.4174463
-617572.3200000016,568678819.4640051
-617413.8200000016,522680421.93186617
-617101.1900000016,522680421.93186617
-616913.0200000015,522680421.93186617
-616648.0300000015,522680421.93186617
-616225.2500000016,522680421.93186617
-616074.8800000015,495609833.5358967
-615630.3500000015,495609833.5358967
-615434.0500000014,495609833.5358967
-615258.0200000015,469701108.3220179
-615235.1300000012,469701108.3220179
-615175.5800000015,386816235.4466434
-615093.1400000015,386816235.4466434
-614894.7300000015,386816235.4466434
-614817.4400000016,376702618.2291049
-614782.0000000016,376702618.2291049
-614672.6000000016,376702618.2291049
-614595.2100000015,376702618.2291049
-614484.9000000014,376702618.2291049
-614465.8600000015,376702618.2291049
-614375.7400000012,376702618.2291049
-614171.7100000016,376702618.2291049
-614008.880000001,376702618.2291049
-613874.5900000015,376702618.2291049
-613825.0100000009,376702618.2291049
-613774.5800000011,376702618.2291049
-613755.8000000016,376702618.2291049
-613696.6700000016,376702618.2291049
-613600.1100000015,376702618.2291049
-613562.4500000016,376702618.2291049
-613491.7200000016,376702618.2291049
-613459.1500000015,376702618.2291049
-613411.7700000012,376702618.2291049
-613340.8200000015,376702618.2291049
-613294.5300000015,376702618.2291049
-613280.0700000012,376702618.2291049
-612913.9800000015,376702618.2291049
-612874.1400000015,376702618.2291049
-612849.3400000016,376702618.2291049
-612837.7700000016,335822593.4107792
-612774.9600000016,335822593.4107792
-612705.6100000015,335822593.4107792
-612630.2700000014,335822593.4107792
-612542.3400000015,335822593.4107792
-612506.3900000015,335822593.4107792
-612401.2700000012,335822593.4107792
-612375.4300000016,335822593.4107792
-612350.0100000016,335822593.4107792
-612341.3700000015,335822593.4107792
-612317.0600000011,335822593.4107792
-612163.8900000015,335822593.4107792
-612083.2500000015,335822593.4107792
-612009.6800000016,335822593.4107792
-612009.3100000016,335822593.4107792
-612007.6200000015,335822593.4107792
-612000.0600000016,335822593.4107792
-611984.7400000015,335822593.4107792
-611879.8000000016,335822593.4107792
-611875.5100000015,335822593.4107792
-611795.0900000015,335822593.4107792
-611790.5800000015,335822593.4107792
-611734.5600000015,335822593.4107792
-611595.0700000015,335822593.4107792
-611542.9700000011,335822593.4107792
-611506.7900000014,335822593.4107792
-611430.4800000016,335822593.4107792
-611338.2500000015,335822593.4107792
-611326.6100000015,335822593.4107792
-611318.7100000015,335822593.4107792
-611260.960000001,335822593.4107792
-611173.3800000014,335822593.4107792
-611159.4700000014,335822593.4107792
-611097.2700000015,335822593.4107792
-611080.7200000016,335822593.4107792
-611046.570000001,335822593.4107792
-611008.8200000016,335822593.4107792
-610986.3900000015,335822593.4107792
-610935.870000001,335822593.4107792
-610868.9600000014,335822593.4107792
-610842.3900000015,335822593.4107792
-610830.5200000016,335822593.4107792
-610757.2500000016,335822593.4107792
-610681.4100000015,335822593.4107792
-610672.1100000015,335822593.4107792
-610652.4500000016,335822593.4107792
