lower_bound,upper_bound
367983.72999999847,1375693293.243824
372299.4899999985,1086702248.971708
372702.8599999984,1086702248.971708
374889.9199999984,955708311.3309044
375221.35999999836,873681258.6612463
377778.5499999985,759803299.3668845
378364.9999999984,759803299.3668845
378711.8399999984,759803299.3668845
378947.20999999845,698671126.5245787
379811.9499999985,676809251.3437432
380122.32999999856,676809251.3437432
380807.7399999984,676809251.3437432
381110.1799999985,676809251.3437432
381302.1799999989,594587901.9783399
381718.3899999984,586608343.080454
381805.2399999985,586608343.080454
381824.94999999844,586608343.080454
382391.71999999846,586608343.080454
382778.88999999844,586608343.080454
382822.2299999984,509813135.0560213
383297.70999999845,477678879.621883
383337.02999999846,477678879.621883
383476.75999999844,467813808.62015575
383567.6199999984,467813808.62015575
383652.93999999843,467813808.62015575
383736.92999999854,467813808.62015575
383784.7499999985,413698051.2251699
383979.85999999836,413698051.2251699
384000.70999999857,413698051.2251699
384009.5199999988,413698051.2251699
384119.05999999837,376702402.1173335
384124.04999999853,376702402.1173335
384257.7399999985,376702402.1173335
384387.0199999985,376702402.1173335
384415.7399999985,376702402.1173335
384612.4699999985,376702402.1173335
384626.44999999844,376702402.1173335
384647.69999999844,376702402.1173335
384780.90999999846,376702402.1173335
385074.9499999985,376702402.1173335
385186.1699999989,376702402.1173335
385193.1699999984,376702402.1173335
385209.36999999837,376702402.1173335
385342.81999999844,376702402.1173335
385556.60999999836,376702402.1173335
385756.56999999844,376702402.1173335
385816.59999999864,376702402.1173335
385861.4999999985,376702402.1173335
385929.14999999845,376702402.1173335
385938.9499999985,376702402.1173335
385943.57999999844,376702402.1173335
386094.1199999985,376702402.1173335
386199.43999999843,376702402.1173335
386281.5999999986,376702402.1173335
386348.4999999984,376702402.1173335
386414.90999999846,376702402.1173335
386482.43999999843,376702402.1173335
386559.72999999893,376702402.1173335
386601.12999999896,376702402.1173335
386708.40999999904,376702402.1173335
386717.5599999989,376702402.1173335
386782.9999999985,376702402.1173335
386800.0599999984,376702402.1173335
386816.9399999988,376702402.1173335
386993.27999999904,376702402.1173335
387024.2299999985,376702402.1173335
387033.30999999854,376702402.1173335
387045.1599999985,376702402.1173335
387108.3699999985,376702402.1173335
387164.56999999855,374706393.7040787
387196.8899999985,374706393.7040787
387204.5599999985,374706393.7040787
387241.4099999984,374706393.7040787
387323.4299999984,374706393.7040787
387416.7599999985,374706393.7040787
387422.57999999897,374706393.7040787
387460.60999999853,374706393.7040787
387549.1299999984,374706393.7040787
387579.00999999855,374706393.7040787
387615.63999999844,374706393.7040787
387649.7199999985,374706393.7040787
387730.899999999,374706393.7040787
387737.6399999985,374706393.7040787
387737.71999999834,374706393.7040787
387779.20999999845,374706393.7040787
387785.8099999985,374706393.7040787
387900.23999999854,374706393.7040787
387988.45999999845,374706393.7040787
388004.3699999991,374706393.7040787
388023.4099999984,374706393.7040787
388210.5599999985,374706393.7040787
388260.76999999845,374706393.7040787
388335.8699999985,342693948.98456895
388350.54999999853,342693948.98456895
388351.3999999984,342693948.98456895
388382.44999999856,342693948.98456895
388451.23999999854,342693948.98456895
388467.65999999846,342693948.98456895
388604.1299999989,342693948.98456895
388638.0299999984,342693948.98456895
388643.5299999985,342693948.98456895
388685.53999999893,342693948.98456895
388803.9099999985,326827866.4681032
388892.18999999843,326827866.4681032
388897.00999999914,326827866.4681032
388940.01999999856,318605079.7692202
388951.51999999856,318605079.7692202
388972.08999999834,318605079.7692202
388972.47999999847,318605079.7692202
389015.62999999913,318605079.7692202
389038.44999999856,318605079.7692202
389051.46999999846,318605079.7692202
389068.5199999985,318605079.7692202
389077.13999999844,318605079.7692202
389106.02999999846,318605079.7692202
389136.69999999856,318605079.7692202
389294.8699999984,318605079.7692202
389311.4199999986,318605079.7692202
389322.34999999835,318605079.7692202
389341.2899999985,318605079.7692202
389358.20999999857,318605079.7692202
389388.4699999984,318605079.7692202
389410.0699999985,318605079.7692202
389425.5999999985,318605079.7692202
389463.14999999857,318605079.7692202
389488.9499999984,318605079.7692202
389767.90999999846,318605079.7692202
389947.2099999985,318605079.7692202
390015.7299999992,318605079.7692202
390016.81999999855,318605079.7692202
390211.42999999854,305826215.8329954
390233.56999999855,305826215.8329954
390236.17999999854,305826215.8329954
390236.34999999864,305826215.8329954
390279.7299999985,269439873.4862533
390283.16999999847,269439873.4862533
390284.3299999986,269439873.4862533
390291.50999999844,269439873.4862533
390297.6999999985,269439873.4862533
390306.5599999985,269439873.4862533
390337.3199999986,269439873.4862533
390415.4799999986,269439873.4862533
390471.0899999985,269439873.4862533
390527.2399999985,269439873.4862533
390534.05999999866,269439873.4862533
390551.4699999986,269439873.4862533
390551.9599999985,269439873.4862533
390573.3099999984,269439873.4862533
390594.74999999854,269439873.4862533
390609.7399999986,269439873.4862533
390653.1199999992,269439873.4862533
390687.8699999986,269439873.4862533
390694.8799999985,269439873.4862533
390724.2999999985,240697076.96685496
390727.3599999986,240697076.96685496
390741.5899999986,240697076.96685496
390752.00999999844,240697076.96685496
390758.72999999847,240697076.96685496
390772.9799999986,240697076.96685496
390781.0599999984,240697076.96685496
390834.36999999854,240697076.96685496
390844.3499999986,240697076.96685496
390844.38999999856,240697076.96685496
